จังหวัด,จำนวนผู้ป่วย,ปี,pro_code
กรุงเทพมหานคร,31340,2563,10
สมุทรปราการ,12272,2563,11
นนทบุรี,19656,2563,12
ปทุมธานี,13013,2563,13
พระนครศรีอยุธยา,9716,2563,14
อ่างทอง,5716,2563,15
ลพบุรี,13641,2563,16
สิงห์บุรี,4657,2563,17
ชัยนาท,11794,2563,18
สระบุรี,12177,2563,19
ชลบุรี,21626,2563,20
ระยอง,20622,2563,21
จันทบุรี,12040,2563,22
ตราด,7009,2563,23
ฉะเชิงเทรา,9091,2563,24
ปราจีนบุรี,7266,2563,25
นครนายก,2990,2563,26
สระแก้ว,10985,2563,27
นครราชสีมา,78401,2563,30
บุรีรัมย์,37822,2563,31
สุรินทร์,23733,2563,32
ศรีสะเกษ,71845,2563,33
อุบลราชธานี,77903,2563,34
ยโสธร,10909,2563,35
ชัยภูมิ,39939,2563,36
อำนาจเจริญ,9036,2563,37
บึงกาฬ,3987,2563,38
หนองบัวลำภู,8610,2563,39
ขอนแก่น,50425,2563,40
อุดรธานี,28844,2563,41
เลย,9374,2563,42
หนองคาย,7971,2563,43
มหาสารคาม,65545,2563,44
ร้อยเอ็ด,31569,2563,45
กาฬสินธุ์,24102,2563,46
สกลนคร,81234,2563,47
นครพนม,9913,2563,48
มุกดาหาร,8472,2563,49
เชียงใหม่,46158,2563,50
ลำพูน,19462,2563,51
ลำปาง,24282,2563,52
อุตรดิตถ์,8901,2563,53
แพร่,6805,2563,54
น่าน,19481,2563,55
พะเยา,21560,2563,56
เชียงราย,23350,2563,57
แม่ฮ่องสอน,6222,2563,58
นครสวรรค์,19659,2563,60
อุทัยธานี,8715,2563,61
กำแพงเพชร,15811,2563,62
ตาก,16769,2563,63
สุโขทัย,8535,2563,64
พิษณุโลก,14940,2563,65
พิจิตร,11771,2563,66
เพชรบูรณ์,19053,2563,67
ราชบุรี,14154,2563,70
กาญจนบุรี,17122,2563,71
สุพรรณบุรี,10730,2563,72
นครปฐม,15315,2563,73
สมุทรสาคร,10712,2563,74
สมุทรสงคราม,2217,2563,75
เพชรบุรี,9936,2563,76
ประจวบคีรีขันธ์,12694,2563,77
นครศรีธรรมราช,26733,2563,80
กระบี่,9670,2563,81
พังงา,4875,2563,82
ภูเก็ต,6984,2563,83
สุราษฎร์ธานี,23291,2563,84
ระนอง,4377,2563,85
ชุมพร,9387,2563,86
สงขลา,53703,2563,90
สตูล,6877,2563,91
ตรัง,5639,2563,92
พัทลุง,14494,2563,93
ปัตตานี,11159,2563,94
ยะลา,4095,2563,95
นราธิวาส,27531,2563,96
ไม่ระบุจังหวัด,1189196,2563,0
กรุงเทพมหานคร,77674,2564,10
สมุทรปราการ,37689,2564,11
นนทบุรี,26243,2564,12
ปทุมธานี,16302,2564,13
พระนครศรีอยุธยา,18935,2564,14
อ่างทอง,9448,2564,15
ลพบุรี,19935,2564,16
สิงห์บุรี,6903,2564,17
ชัยนาท,10451,2564,18
สระบุรี,17609,2564,19
ชลบุรี,27672,2564,20
ระยอง,17055,2564,21
จันทบุรี,14816,2564,22
ตราด,6671,2564,23
ฉะเชิงเทรา,15771,2564,24
ปราจีนบุรี,9499,2564,25
นครนายก,6346,2564,26
สระแก้ว,14829,2564,27
นครราชสีมา,66669,2564,30
บุรีรัมย์,44352,2564,31
สุรินทร์,34390,2564,32
ศรีสะเกษ,52527,2564,33
อุบลราชธานี,66194,2564,34
ยโสธร,14109,2564,35
ชัยภูมิ,33444,2564,36
อำนาจเจริญ,11416,2564,37
บึงกาฬ,9835,2564,38
หนองบัวลำภู,12765,2564,39
ขอนแก่น,56039,2564,40
อุดรธานี,32855,2564,41
เลย,19904,2564,42
หนองคาย,10676,2564,43
มหาสารคาม,27697,2564,44
ร้อยเอ็ด,33910,2564,45
กาฬสินธุ์,27549,2564,46
สกลนคร,27720,2564,47
นครพนม,20827,2564,48
มุกดาหาร,13411,2564,49
เชียงใหม่,67289,2564,50
ลำพูน,19989,2564,51
ลำปาง,31314,2564,52
อุตรดิตถ์,8164,2564,53
แพร่,11831,2564,54
น่าน,19616,2564,55
พะเยา,18530,2564,56
เชียงราย,35715,2564,57
แม่ฮ่องสอน,8090,2564,58
นครสวรรค์,25377,2564,60
อุทัยธานี,8236,2564,61
กำแพงเพชร,15185,2564,62
ตาก,13013,2564,63
สุโขทัย,14207,2564,64
พิษณุโลก,23350,2564,65
พิจิตร,12915,2564,66
เพชรบูรณ์,21691,2564,67
ราชบุรี,23745,2564,70
กาญจนบุรี,14390,2564,71
สุพรรณบุรี,18217,2564,72
นครปฐม,15829,2564,73
สมุทรสาคร,11891,2564,74
สมุทรสงคราม,3294,2564,75
เพชรบุรี,10631,2564,76
ประจวบคีรีขันธ์,14627,2564,77
นครศรีธรรมราช,43577,2564,80
กระบี่,11161,2564,81
พังงา,10077,2564,82
ภูเก็ต,10319,2564,83
สุราษฎร์ธานี,34780,2564,84
ระนอง,5866,2564,85
ชุมพร,12371,2564,86
สงขลา,42297,2564,90
สตูล,8389,2564,91
ตรัง,15754,2564,92
พัทลุง,14870,2564,93
ปัตตานี,14155,2564,94
ยะลา,9990,2564,95
นราธิวาส,16345,2564,96
ไม่ระบุจังหวัด,641084,2564,0
กรุงเทพมหานคร,93678,2565,10
สมุทรปราการ,32083,2565,11
นนทบุรี,49608,2565,12
ปทุมธานี,23443,2565,13
พระนครศรีอยุธยา,21561,2565,14
อ่างทอง,17863,2565,15
ลพบุรี,24207,2565,16
สิงห์บุรี,11623,2565,17
ชัยนาท,16239,2565,18
สระบุรี,23880,2565,19
ชลบุรี,37064,2565,20
ระยอง,20566,2565,21
จันทบุรี,19915,2565,22
ตราด,7907,2565,23
ฉะเชิงเทรา,20979,2565,24
ปราจีนบุรี,13171,2565,25
นครนายก,11397,2565,26
สระแก้ว,15795,2565,27
นครราชสีมา,108952,2565,30
บุรีรัมย์,51313,2565,31
สุรินทร์,47539,2565,32
ศรีสะเกษ,56938,2565,33
อุบลราชธานี,64161,2565,34
ยโสธร,22483,2565,35
ชัยภูมิ,38962,2565,36
อำนาจเจริญ,13095,2565,37
บึงกาฬ,11658,2565,38
หนองบัวลำภู,11808,2565,39
ขอนแก่น,74282,2565,40
อุดรธานี,37930,2565,41
เลย,32469,2565,42
หนองคาย,13258,2565,43
มหาสารคาม,40502,2565,44
ร้อยเอ็ด,41623,2565,45
กาฬสินธุ์,35510,2565,46
สกลนคร,52192,2565,47
นครพนม,21047,2565,48
มุกดาหาร,13667,2565,49
เชียงใหม่,104543,2565,50
ลำพูน,22625,2565,51
ลำปาง,37268,2565,52
อุตรดิตถ์,18979,2565,53
แพร่,20494,2565,54
น่าน,23295,2565,55
พะเยา,20681,2565,56
เชียงราย,48236,2565,57
แม่ฮ่องสอน,11840,2565,58
นครสวรรค์,42583,2565,60
อุทัยธานี,16044,2565,61
กำแพงเพชร,23014,2565,62
ตาก,17699,2565,63
สุโขทัย,18973,2565,64
พิษณุโลก,38684,2565,65
พิจิตร,17625,2565,66
เพชรบูรณ์,28456,2565,67
ราชบุรี,25883,2565,70
กาญจนบุรี,36385,2565,71
สุพรรณบุรี,26169,2565,72
นครปฐม,22577,2565,73
สมุทรสาคร,18533,2565,74
สมุทรสงคราม,6575,2565,75
เพชรบุรี,12121,2565,76
ประจวบคีรีขันธ์,16401,2565,77
นครศรีธรรมราช,47429,2565,80
กระบี่,10620,2565,81
พังงา,9741,2565,82
ภูเก็ต,11901,2565,83
สุราษฎร์ธานี,47072,2565,84
ระนอง,6316,2565,85
ชุมพร,18041,2565,86
สงขลา,66554,2565,90
สตูล,10076,2565,91
ตรัง,22544,2565,92
พัทลุง,18864,2565,93
ปัตตานี,18458,2565,94
ยะลา,13062,2565,95
นราธิวาส,21704,2565,96
ไม่ระบุจังหวัด,226336,2565,0
กรุงเทพมหานคร,108633,2566,10
สมุทรปราการ,51281,2566,11
นนทบุรี,43283,2566,12
ปทุมธานี,28233,2566,13
พระนครศรีอยุธยา,33538,2566,14
อ่างทอง,14080,2566,15
ลพบุรี,32434,2566,16
สิงห์บุรี,13119,2566,17
ชัยนาท,23894,2566,18
สระบุรี,31729,2566,19
ชลบุรี,53148,2566,20
ระยอง,30542,2566,21
จันทบุรี,27227,2566,22
ตราด,12595,2566,23
ฉะเชิงเทรา,28176,2566,24
ปราจีนบุรี,15305,2566,25
นครนายก,9958,2566,26
สระแก้ว,25026,2566,27
นครราชสีมา,140032,2566,30
บุรีรัมย์,75594,2566,31
สุรินทร์,63906,2566,32
ศรีสะเกษ,74992,2566,33
อุบลราชธานี,103682,2566,34
ยโสธร,22649,2566,35
ชัยภูมิ,56954,2566,36
อำนาจเจริญ,19810,2566,37
บึงกาฬ,15684,2566,38
หนองบัวลำภู,18014,2566,39
ขอนแก่น,87261,2566,40
อุดรธานี,56207,2566,41
เลย,29837,2566,42
หนองคาย,19105,2566,43
มหาสารคาม,44311,2566,44
ร้อยเอ็ด,48985,2566,45
กาฬสินธุ์,44648,2566,46
สกลนคร,46385,2566,47
นครพนม,30599,2566,48
มุกดาหาร,17384,2566,49
เชียงใหม่,105276,2566,50
ลำพูน,32582,2566,51
ลำปาง,44575,2566,52
อุตรดิตถ์,13940,2566,53
แพร่,22196,2566,54
น่าน,28276,2566,55
พะเยา,31690,2566,56
เชียงราย,61088,2566,57
แม่ฮ่องสอน,14161,2566,58
นครสวรรค์,48984,2566,60
อุทัยธานี,19380,2566,61
กำแพงเพชร,27502,2566,62
ตาก,24078,2566,63
สุโขทัย,25047,2566,64
พิษณุโลก,41148,2566,65
พิจิตร,21671,2566,66
เพชรบูรณ์,39597,2566,67
ราชบุรี,37478,2566,70
กาญจนบุรี,32567,2566,71
สุพรรณบุรี,37177,2566,72
นครปฐม,33776,2566,73
สมุทรสาคร,16729,2566,74
สมุทรสงคราม,6775,2566,75
เพชรบุรี,17442,2566,76
ประจวบคีรีขันธ์,21645,2566,77
นครศรีธรรมราช,74099,2566,80
กระบี่,17001,2566,81
พังงา,14850,2566,82
ภูเก็ต,18218,2566,83
สุราษฎร์ธานี,63134,2566,84
ระนอง,7807,2566,85
ชุมพร,22082,2566,86
สงขลา,75763,2566,90
สตูล,18068,2566,91
ตรัง,29639,2566,92
พัทลุง,26246,2566,93
ปัตตานี,23634,2566,94
ยะลา,20157,2566,95
นราธิวาส,29078,2566,96
ไม่ระบุจังหวัด,61532,2566,0
